$ C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\.venv\Scripts\python.exe -m tester.ftrun backtesting --config C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\config.tester.json --userdir C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\user_data --strategy IBSImbalanceStrategy --cache none --export trades --timerange 20211001-20221001 --pairs BTC/USDT:USDT --timeframe 3m --dry-run-wallet 40000000.0 --fee 0.0005 --timeframe-detail 1m --datadir C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\data\tester\binance
2026-09-10 14:38:45,063 - freqtrade - INFO - freqtrade 2026.8
2026-09-10 14:38:45,718 - freqtrade.configuration.load_config - INFO - Using config: C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\config.tester.json ...
2026-09-10 14:38:45,719 - freqtrade.loggers - INFO - Enabling colorized output.
2026-09-10 14:38:45,720 - freqtrade.loggers - INFO - Logfile configured
… (skrátené) …
2026-09-10 14:38:45,723 - freqtrade.exchange.check_exchange - WARNING - Exchange "tester" is known to the ccxt library, available for the bot, but not officially supported by the Freqtrade development
2026-09-10 14:38:45,753 - freqtrade.resolvers.iresolver - INFO - Using resolved strategy IBSImbalanceStrategy from 
'C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\user_data\strategies\IBSImbalanceStrategy.py'...
C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\user_data\strategies\IBSImbalanceStrategy.json
2026-09-10 14:38:45,770 - tradebot.adapters.freqtrade.base - WARNING - ibs config: engMinRangePoints, ewMinWavePoints, liqSweepMinWick, minImbSizePoints, pbMinRangePoints, srClusterPoints sú v 
2026-09-10 14:38:47,302 - freqtrade.optimize.backtesting - INFO - Running backtesting for Strategy IBSImbalanceStrategy
2026-09-10 14:38:57,652 - tradebot.strategies.ibs.freqtrade - INFO - IBS BTC/USDT:USDT: 175501 barov, 105421 HTF barov, 200 zon, 193 signalov (95 long / 98 short)
Result for strategy IBSImbalanceStrategy
│ IBSImbalanceStrategy │    143 │        -0.12 │       -9129.448 │        -0.02 │      3:46:00 │   33     0   110  23.1 │ 14031.601 USDT  0.04% │
…
├───────┼────────┼──────────────┼─────────────────┼──────────────┼──────────────┼────────────────────────┤
│ TOTAL │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│ ibs:1637660340000 │       1 │          2.1 │         379.092 │          0.0 │     11:06:00 │    1     0     0   100 │
│ ibs:1659113280000 │       1 │         0.59 │         332.739 │          0.0 │      2:57:00 │    1     0     0   100 │
│ ibs:1663663680000 │       1 │         1.24 │         310.870 │          0.0 │     10:57:00 │    1     0     0   100 │
│ ibs:1663945740000 │       1 │         0.58 │         257.363 │          0.0 │      4:36:00 │    1     0     0   100 │
│ ibs:1652172120000 │       1 │         1.39 │         192.025 │          0.0 │     11:03:00 │    1     0     0   100 │
│ ibs:1654702920000 │       1 │         0.71 │         165.015 │          0.0 │      4:03:00 │    1     0     0   100 │
│ ibs:1636017660000 │       1 │         0.63 │         160.816 │          0.0 │     10:24:00 │    1     0     0   100 │
│ ibs:1634915160000 │       1 │         1.25 │         137.733 │          0.0 │      4:39:00 │    1     0     0   100 │
│ ibs:1640107620000 │       1 │         0.19 │         137.373 │          0.0 │      3:18:00 │    1     0     0   100 │
│ ibs:1659943260000 │       1 │         0.57 │         117.909 │          0.0 │     12:24:00 │    1     0     0   100 │
│ ibs:1652383080000 │       1 │         0.33 │         117.904 │          0.0 │      0:27:00 │    1     0     0   100 │
│ ibs:1635152400000 │       1 │        -0.12 │         -31.955 │         -0.0 │     10:45:00 │    0     0     1     0 │
│ ibs:1656692100000 │       1 │        -0.12 │         -52.601 │         -0.0 │      3:30:00 │    0     0     1     0 │
│ ibs:1661269860000 │       1 │        -0.17 │         -71.334 │         -0.0 │      3:54:00 │    0     0     1     0 │
│ ibs:1636648920000 │       1 │        -0.15 │         -79.286 │         -0.0 │      4:03:00 │    0     0     1     0 │
│ ibs:1662053940000 │       1 │        -0.21 │        -101.474 │         -0.0 │      2:06:00 │    0     0     1     0 │
│ ibs:1657551420000 │       1 │        -0.53 │        -101.474 │         -0.0 │      4:48:00 │    0     0     1     0 │
│ ibs:1654788240000 │       1 │        -0.29 │        -132.612 │         -0.0 │      4:21:00 │    0     0     1     0 │
│ ibs:1660068180000 │       1 │        -0.17 │        -154.059 │         -0.0 │      1:42:00 │    0     0     1     0 │
│ ibs:1645459200000 │       1 │        -1.55 │        -156.742 │         -0.0 │      4:45:00 │    0     0     1     0 │
│ ibs:1656515520000 │       1 │        -0.27 │        -169.028 │         -0.0 │      4:33:00 │    0     0     1     0 │
│ ibs:1663009920000 │       1 │        -0.12 │        -176.926 │         -0.0 │      0:33:00 │    0     0     1     0 │
│ ibs:1652712660000 │       1 │        -1.01 │        -184.540 │         -0.0 │      4:54:00 │    0     0     1     0 │
│ ibs:1655221140000 │       1 │        -1.46 │        -205.899 │         -0.0 │      4:06:00 │    0     0     1     0 │
│ ibs:1648654380000 │       1 │         -0.3 │        -278.459 │         -0.0 │      4:12:00 │    0     0     1     0 │
│ ibs:1662656400000 │       1 │        -0.84 │        -283.913 │         -0.0 │      2:45:00 │    0     0     1     0 │
│ ibs:1646754660000 │       1 │        -1.99 │        -366.115 │         -0.0 │      2:07:00 │    0     0     1     0 │
│ ibs:1641549960000 │       1 │        -2.11 │        -367.014 │         -0.0 │      3:29:00 │    0     0     1     0 │
│ ibs:1652349060000 │       1 │        -2.03 │        -367.964 │         -0.0 │      0:49:00 │    0     0     1     0 │
│ ibs:1663057800000 │       1 │        -1.95 │        -368.936 │         -0.0 │      2:47:00 │    0     0     1     0 │
│ ibs:1646384040000 │       1 │        -1.82 │        -369.733 │         -0.0 │      5:51:00 │    0     0     1     0 │
│ ibs:1644572160000 │       1 │        -1.51 │        -372.215 │         -0.0 │      9:04:00 │    0     0     1     0 │
│ ibs:1664435880000 │       1 │        -1.42 │        -372.329 │         -0.0 │      9:22:00 │    0     0     1     0 │
│ ibs:1646647920000 │       1 │        -1.57 │        -372.726 │         -0.0 │      9:18:00 │    0     0     1     0 │
│ ibs:1653403680000 │       1 │        -1.52 │        -374.760 │         -0.0 │      0:54:00 │    0     0     1     0 │
│ ibs:1658133360000 │       1 │         -1.5 │        -374.811 │         -0.0 │      7:17:00 │    0     0     1     0 │
│ ibs:1653638940000 │       1 │        -1.45 │        -375.614 │         -0.0 │      6:51:00 │    0     0     1     0 │
│ ibs:1637919540000 │       1 │        -1.33 │        -377.797 │         -0.0 │      1:09:00 │    0     0     1     0 │
│ ibs:1639996200000 │       1 │        -1.21 │        -378.039 │         -0.0 │      6:20:00 │    0     0     1     0 │
│ ibs:1660207860000 │       1 │        -1.28 │        -379.637 │         -0.0 │      3:36:00 │    0     0     1     0 │
│ ibs:1655977140000 │       1 │        -1.27 │        -379.766 │         -0.0 │      0:16:00 │    0     0     1     0 │
│ ibs:1657613880000 │       1 │        -1.26 │        -380.132 │         -0.0 │      4:02:00 │    0     0     1     0 │
│ ibs:1657119240000 │       1 │         -1.1 │        -381.560 │         -0.0 │      2:03:00 │    0     0     1     0 │
│ ibs:1663228260000 │       1 │        -1.25 │        -383.603 │         -0.0 │      6:40:00 │    0     0     1     0 │
│ ibs:1652947380000 │       1 │         -1.1 │        -385.188 │         -0.0 │      3:43:00 │    0     0     1     0 │
│ ibs:1656344520000 │       1 │        -1.14 │        -385.553 │         -0.0 │      2:22:00 │    0     0     1     0 │
│ ibs:1646641080000 │       1 │        -1.06 │        -386.407 │         -0.0 │      0:41:00 │    0     0     1     0 │
│ ibs:1646988480000 │       1 │        -1.02 │        -388.037 │         -0.0 │      2:33:00 │    0     0     1     0 │
│ ibs:1652778180000 │       1 │        -0.97 │        -389.612 │         -0.0 │      2:29:00 │    0     0     1     0 │
│ ibs:1644832800000 │       1 │        -0.97 │        -389.983 │         -0.0 │      2:38:00 │    0     0     1     0 │
│ ibs:1633943340000 │       1 │        -0.97 │        -390.031 │         -0.0 │      4:26:00 │    0     0     1     0 │
│ ibs:1636627320000 │       1 │        -0.95 │        -390.589 │         -0.0 │      1:29:00 │    0     0     1     0 │
│ ibs:1646040240000 │       1 │        -0.96 │        -390.601 │         -0.0 │      4:49:00 │    0     0     1     0 │
│ ibs:1647426420000 │       1 │        -0.95 │        -391.276 │         -0.0 │      3:30:00 │    0     0     1     0 │
│ ibs:1662019200000 │       1 │        -0.94 │        -391.777 │         -0.0 │      3:34:00 │    0     0     1     0 │
│ ibs:1639732680000 │       1 │        -0.91 │        -392.877 │         -0.0 │      4:43:00 │    0     0     1     0 │
│ ibs:1663602300000 │       1 │        -0.91 │        -393.272 │         -0.0 │      1:45:00 │    0     0     1     0 │
│ ibs:1661159700000 │       1 │        -0.91 │        -393.292 │         -0.0 │      4:37:00 │    0     0     1     0 │
│ ibs:1634224500000 │       1 │        -1.04 │        -393.967 │         -0.0 │      3:09:00 │    0     0     1     0 │
│ ibs:1655973180000 │       1 │        -0.89 │        -394.031 │         -0.0 │      0:46:00 │    0     0     1     0 │
│ ibs:1633447620000 │       1 │        -0.88 │        -394.348 │         -0.0 │      2:53:00 │    0     0     1     0 │
│ ibs:1637833680000 │       1 │        -0.85 │        -394.487 │         -0.0 │      0:16:00 │    0     0     1     0 │
│ ibs:1662134040000 │       1 │        -0.85 │        -396.604 │         -0.0 │      0:40:00 │    0     0     1     0 │
│ ibs:1658761740000 │       1 │        -0.81 │        -397.670 │         -0.0 │      1:58:00 │    0     0     1     0 │
│ ibs:1659082680000 │       1 │        -0.79 │        -400.099 │         -0.0 │      3:09:00 │    0     0     1     0 │
│ ibs:1646303760000 │       1 │        -0.79 │        -400.924 │         -0.0 │      0:07:00 │    0     0     1     0 │
│ ibs:1647248760000 │       1 │        -0.77 │        -401.879 │         -0.0 │      0:46:00 │    0     0     1     0 │
│ ibs:1634576400000 │       1 │        -0.76 │        -402.003 │         -0.0 │      2:07:00 │    0     0     1     0 │
│ ibs:1659605580000 │       1 │        -0.77 │        -402.477 │         -0.0 │      4:06:00 │    0     0     1     0 │
│ ibs:1655368200000 │       1 │        -0.75 │        -403.653 │         -0.0 │      0:32:00 │    0     0     1     0 │
│ ibs:1634633280000 │       1 │        -0.74 │        -404.198 │         -0.0 │      5:35:00 │    0     0     1     0 │
│ ibs:1662625260000 │       1 │        -0.74 │        -404.571 │         -0.0 │      4:47:00 │    0     0     1     0 │
│ ibs:1646123580000 │       1 │        -0.73 │        -405.197 │         -0.0 │      0:55:00 │    0     0     1     0 │
│ ibs:1645810020000 │       1 │        -0.72 │        -406.083 │         -0.0 │      0:24:00 │    0     0     1     0 │
│ ibs:1641457080000 │       1 │        -0.72 │        -406.171 │         -0.0 │      0:45:00 │    0     0     1     0 │
│ ibs:1643793840000 │       1 │        -0.72 │        -406.245 │         -0.0 │      5:05:00 │    0     0     1     0 │
│ ibs:1652432400000 │       1 │        -0.76 │        -406.522 │         -0.0 │      7:27:00 │    0     0     1     0 │
│ ibs:1653469200000 │       1 │        -0.62 │        -409.565 │         -0.0 │      8:59:00 │    0     0     1     0 │
│ ibs:1646735760000 │       1 │        -0.67 │        -410.420 │         -0.0 │      2:02:00 │    0     0     1     0 │
│ ibs:1633593240000 │       1 │        -0.87 │        -410.527 │         -0.0 │      1:10:00 │    0     0     1     0 │
│ ibs:1642412160000 │       1 │        -0.67 │        -410.787 │         -0.0 │      2:28:00 │    0     0     1     0 │
│ ibs:1648198800000 │       1 │        -0.67 │        -411.674 │         -0.0 │      1:53:00 │    0     0     1     0 │
│ ibs:1642669380000 │       1 │        -0.66 │        -412.625 │         -0.0 │      1:55:00 │    0     0     1     0 │
│ ibs:1658912580000 │       1 │         -0.6 │        -420.076 │         -0.0 │      4:48:00 │    0     0     1     0 │
│ ibs:1635348780000 │       1 │         -0.7 │        -423.758 │         -0.0 │      0:36:00 │    0     0     1     0 │
│ ibs:1635841440000 │       1 │        -0.57 │        -425.449 │         -0.0 │      1:06:00 │    0     0     1     0 │
│ ibs:1642155300000 │       1 │        -0.56 │        -426.232 │         -0.0 │      4:29:00 │    0     0     1     0 │
│ ibs:1649062620000 │       1 │        -0.52 │        -432.359 │         -0.0 │      0:05:00 │    0     0     1     0 │
│ ibs:1661846400000 │       1 │        -0.51 │        -434.754 │         -0.0 │      2:43:00 │    0     0     1     0 │
│ ibs:1654762680000 │       1 │         -0.5 │        -437.641 │         -0.0 │      3:34:00 │    0     0     1     0 │
│ ibs:1656491760000 │       1 │        -0.49 │        -438.660 │         -0.0 │      0:49:00 │    0     0     1     0 │
│ ibs:1640079180000 │       1 │        -0.49 │        -438.699 │         -0.0 │      5:58:00 │    0     0     1     0 │
│ ibs:1642066740000 │       1 │        -0.49 │        -438.935 │         -0.0 │      0:26:00 │    0     0     1     0 │
│ ibs:1660640580000 │       1 │        -0.49 │        -439.392 │         -0.0 │      3:43:00 │    0     0     1     0 │
│ ibs:1634721660000 │       1 │        -0.49 │        -440.105 │         -0.0 │      2:57:00 │    0     0     1     0 │
│ ibs:1661799600000 │       1 │        -0.49 │        -440.548 │         -0.0 │      0:22:00 │    0     0     1     0 │
│ ibs:1653901380000 │       1 │        -0.48 │        -441.481 │         -0.0 │      3:08:00 │    0     0     1     0 │
│ ibs:1648111500000 │       1 │        -0.48 │        -441.984 │         -0.0 │      5:58:00 │    0     0     1     0 │
│ ibs:1659601800000 │       1 │        -0.47 │        -445.028 │         -0.0 │      0:04:00 │    0     0     1     0 │
│ ibs:1662457500000 │       1 │        -0.47 │        -445.483 │         -0.0 │      1:36:00 │    0     0     1     0 │
│ ibs:1660289040000 │       1 │        -0.47 │        -446.405 │         -0.0 │      2:44:00 │    0     0     1     0 │
│ ibs:1656405000000 │       1 │        -0.46 │        -447.030 │         -0.0 │      0:12:00 │    0     0     1     0 │
│ ibs:1662103440000 │       1 │        -0.46 │        -452.126 │         -0.0 │      3:44:00 │    0     0     1     0 │
│ ibs:1654162560000 │       1 │        -0.44 │        -452.439 │         -0.0 │      1:03:00 │    0     0     1     0 │
│ ibs:1649756160000 │       1 │        -0.44 │        -452.766 │         -0.0 │      4:40:00 │    0     0     1     0 │
│ ibs:1654849260000 │       1 │        -0.44 │        -453.709 │         -0.0 │      4:01:00 │    0     0     1     0 │
│ ibs:1649236860000 │       1 │        -0.43 │        -456.701 │         -0.0 │      1:02:00 │    0     0     1     0 │
│ ibs:1637571240000 │       1 │        -0.42 │        -458.859 │         -0.0 │      0:59:00 │    0     0     1     0 │
│ ibs:1650016080000 │       1 │        -0.41 │        -462.387 │         -0.0 │      4:04:00 │    0     0     1     0 │
│ ibs:1636103520000 │       1 │         -0.4 │        -467.018 │         -0.0 │      0:14:00 │    0     0     1     0 │
│ ibs:1634031180000 │       1 │         -0.4 │        -468.035 │         -0.0 │      0:13:00 │    0     0     1     0 │
│ ibs:1643965020000 │       1 │        -0.38 │        -472.738 │         -0.0 │      1:31:00 │    0     0     1     0 │
│ ibs:1649842200000 │       1 │        -0.38 │        -476.789 │         -0.0 │      4:11:00 │    0     0     1     0 │
│ ibs:1640196540000 │       1 │        -0.37 │        -477.256 │         -0.0 │      0:27:00 │    0     0     1     0 │
│ ibs:1656318600000 │       1 │        -0.37 │        -479.646 │         -0.0 │      0:04:00 │    0     0     1     0 │
│ ibs:1642501260000 │       1 │        -0.35 │        -490.282 │         -0.0 │      0:09:00 │    0     0     1     0 │
│ ibs:1662369120000 │       1 │        -0.34 │        -495.818 │         -0.0 │      0:35:00 │    0     0     1     0 │
│ ibs:1645181100000 │       1 │        -0.34 │        -497.909 │         -0.0 │      0:15:00 │    0     0     1     0 │
│ ibs:1660665060000 │       1 │        -0.32 │        -500.649 │         -0.0 │      2:14:00 │    0     0     1     0 │
│ ibs:1649145600000 │       1 │        -0.29 │        -534.564 │         -0.0 │      4:10:00 │    0     0     1     0 │
│ ibs:1649320380000 │       1 │        -0.26 │        -562.533 │         -0.0 │      2:32:00 │    0     0     1     0 │
│             TOTAL │     143 │        -0.12 │       -9129.448 │        -0.02 │      3:46:00 │   33     0   110  23.1 │
└───────────────────┴─────────┴──────────────┴─────────────────┴──────────────┴──────────────┴────────────────────────┘
                                                  EXIT REASON STATS                                                   
┌────────────────────┬───────┬──────────────┬─────────────────┬──────────────┬──────────────┬────────────────────────┐
│        Exit Reason │ Exits │ Avg Profit % │ Tot Profit USDT │ Tot Profit % │ Avg Duration │  Win  Draw  Loss  Win% │
├────────────────────┼───────┼──────────────┼─────────────────┼──────────────┼──────────────┼────────────────────────┤
│                roi │    16 │         2.69 │       25312.869 │         0.06 │      4:57:00 │   16     0     0   100 │
│        session_end │    32 │         0.55 │        5261.899 │         0.01 │      5:52:00 │   17     0    15  53.1 │
│ trailing_stop_loss │    30 │         -0.8 │      -12603.896 │        -0.03 │      3:04:00 │    0     0    30     0 │
│          stop_loss │    65 │        -0.82 │      -27100.320 │        -0.07 │      2:45:00 │    0     0    65     0 │
│              TOTAL │   143 │        -0.12 │       -9129.448 │        -0.02 │      3:46:00 │   33     0   110  23.1 │
└────────────────────┴───────┴──────────────┴─────────────────┴──────────────┴──────────────┴────────────────────────┘
                                                              MIXED TAG STATS                                                              
┌───────────────────┬────────────────────┬────────┬──────────────┬─────────────────┬──────────────┬──────────────┬────────────────────────┐
│         Enter Tag │        Exit Reason │ Trades │ Avg Profit % │ Tot Profit USDT │ Tot Profit % │ Avg Duration │  Win  Draw  Loss  Win% │
├───────────────────┼────────────────────┼────────┼──────────────┼─────────────────┼──────────────┼──────────────┼────────────────────────┤
│ ibs:1635932880000 │                roi │      1 │          2.9 │        1606.415 │          0.0 │      8:09:00 │    1     0     0   100 │
│ ibs:1653293520000 │                roi │      1 │         3.38 │        1602.512 │          0.0 │     11:01:00 │    1     0     0   100 │
│ ibs:1650879180000 │                roi │      1 │         4.05 │        1601.032 │          0.0 │      9:12:00 │    1     0     0   100 │
│ ibs:1633080240000 │                roi │      1 │          3.7 │        1600.697 │          0.0 │      1:01:00 │    1     0     0   100 │
│ ibs:1641398580000 │                roi │      1 │         2.97 │        1591.579 │          0.0 │      3:39:00 │    1     0     0   100 │
│ ibs:1641808260000 │                roi │      1 │         2.98 │        1591.555 │          0.0 │      4:22:00 │    1     0     0   100 │
│ ibs:1638265500000 │                roi │      1 │         3.02 │        1590.289 │          0.0 │      4:14:00 │    1     0     0   100 │
│ ibs:1657035000000 │                roi │      1 │         2.88 │        1588.580 │          0.0 │      3:17:00 │    1     0     0   100 │
│ ibs:1663169220000 │                roi │      1 │         2.48 │        1582.584 │          0.0 │      2:43:00 │    1     0     0   100 │
│ ibs:1645117560000 │                roi │      1 │          2.5 │        1581.529 │          0.0 │      1:18:00 │    1     0     0   100 │
│ ibs:1651824000000 │                roi │      1 │         2.48 │        1581.218 │          0.0 │      5:33:00 │    1     0     0   100 │
│ ibs:1659366900000 │                roi │      1 │         2.15 │        1577.286 │          0.0 │      2:22:00 │    1     0     0   100 │
│ ibs:1638355500000 │                roi │      1 │         2.34 │        1576.538 │          0.0 │      3:38:00 │    1     0     0   100 │
│ ibs:1648453500000 │                roi │      1 │         2.13 │        1555.858 │          0.0 │     11:04:00 │    1     0     0   100 │
│ ibs:1651742460000 │                roi │      1 │         1.54 │        1545.072 │          0.0 │      4:40:00 │    1     0     0   100 │
│ ibs:1641977100000 │                roi │      1 │         1.49 │        1540.126 │          0.0 │      2:52:00 │    1     0     0   100 │
│ ibs:1644399720000 │        session_end │      1 │         2.86 │        1432.716 │          0.0 │     11:03:00 │    1     0     0   100 │
│ ibs:1661332860000 │        session_end │      1 │         1.68 │         913.833 │          0.0 │     10:24:00 │    1     0     0   100 │
│ ibs:1642762260000 │        session_end │      1 │         1.87 │         875.055 │          0.0 │      9:54:00 │    1     0     0   100 │
│ ibs:1645692480000 │        session_end │      1 │         7.37 │         844.846 │          0.0 │     11:57:00 │    1     0     0   100 │
│ ibs:1641487140000 │        session_end │      1 │         0.74 │         541.343 │          0.0 │      4:06:00 │    1     0     0   100 │
│ ibs:1662566580000 │        session_end │      1 │         0.72 │         525.569 │          0.0 │      3:42:00 │    1     0     0   100 │
│ ibs:1637660340000 │        session_end │      1 │          2.1 │         379.092 │          0.0 │     11:06:00 │    1     0     0   100 │
│ ibs:1659113280000 │        session_end │      1 │         0.59 │         332.739 │          0.0 │      2:57:00 │    1     0     0   100 │
│ ibs:1663663680000 │        session_end │      1 │         1.24 │         310.870 │          0.0 │     10:57:00 │    1     0     0   100 │
│ ibs:1663945740000 │        session_end │      1 │         0.58 │         257.363 │          0.0 │      4:36:00 │    1     0     0   100 │
│ ibs:1652172120000 │        session_end │      1 │         1.39 │         192.025 │          0.0 │     11:03:00 │    1     0     0   100 │
│ ibs:1654702920000 │        session_end │      1 │         0.71 │         165.015 │          0.0 │      4:03:00 │    1     0     0   100 │
│ ibs:1636017660000 │        session_end │      1 │         0.63 │         160.816 │          0.0 │     10:24:00 │    1     0     0   100 │
│ ibs:1634915160000 │        session_end │      1 │         1.25 │         137.733 │          0.0 │      4:39:00 │    1     0     0   100 │
│ ibs:1640107620000 │        session_end │      1 │         0.19 │         137.373 │          0.0 │      3:18:00 │    1     0     0   100 │
│ ibs:1659943260000 │        session_end │      1 │         0.57 │         117.909 │          0.0 │     12:24:00 │    1     0     0   100 │
│ ibs:1652383080000 │        session_end │      1 │         0.33 │         117.904 │          0.0 │      0:27:00 │    1     0     0   100 │
│ ibs:1635152400000 │        session_end │      1 │        -0.12 │         -31.955 │         -0.0 │     10:45:00 │    0     0     1     0 │
│ ibs:1656692100000 │        session_end │      1 │        -0.12 │         -52.601 │         -0.0 │      3:30:00 │    0     0     1     0 │
│ ibs:1661269860000 │        session_end │      1 │        -0.17 │         -71.334 │         -0.0 │      3:54:00 │    0     0     1     0 │
│ ibs:1636648920000 │        session_end │      1 │        -0.15 │         -79.286 │         -0.0 │      4:03:00 │    0     0     1     0 │
│ ibs:1662053940000 │        session_end │      1 │        -0.21 │        -101.474 │         -0.0 │      2:06:00 │    0     0     1     0 │
│ ibs:1657551420000 │        session_end │      1 │        -0.53 │        -101.474 │         -0.0 │      4:48:00 │    0     0     1     0 │
│ ibs:1654788240000 │        session_end │      1 │        -0.29 │        -132.612 │         -0.0 │      4:21:00 │    0     0     1     0 │
